hs6,dimension,score,sitc2,sitc2_label
10110,1,0.826175381500491,,
10190,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10210,1,2.22044604925031e-16,,
10290,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10310,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10391,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10392,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10410,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10420,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10511,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10512,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10519,1,2.22044604925031e-16,,
10594,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10599,1,2.22044604925031e-16,00,00 - Live animals chiefly for food
10611,1,2.22044604925031e-16,94,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
10612,1,2.22044604925031e-16,94,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
10619,1,2.22044604925031e-16,94,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
10620,1,2.22044604925031e-16,94,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
10631,1,2.22044604925031e-16,94,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
10632,1,2.22044604925031e-16,94,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
10639,1,2.22044604925031e-16,94,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
10690,1,2.22044604925031e-16,94,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
20110,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20120,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20130,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20210,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20220,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20230,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20311,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20312,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20319,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20321,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20322,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20329,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20410,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20421,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20422,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20423,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20430,1,0.855062492196801,01,01 - Meat and meat preparations
20441,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20442,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20443,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20450,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20500,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20610,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20621,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20622,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20629,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20630,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20641,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20649,1,2.22044604925031e-16,01,01 - Meat and meat preparations
20680,1,0.0218512987041281,01,01 - Meat and meat preparations
20690,1,0.20510249527488,01,01 - Meat and meat preparations
20711,1,2.22044604925031e-16,01,01 - Meat and meat preparations
