dimension,sitc2,score,sitc2_label
1,00,2.44249065417534e-15,00 - Live animals chiefly for food
1,94,1.77635683940025e-15,"94 - Animals, live, n.e.s., (including zoo animals, pets, insects, etc)"
1,01,2.42115316428467,01 - Meat and meat preparations
1,03,77.1853781648982,"03 - Fish, crustacean and molluscs, and preparations thereof"
1,02,5.10702591327572e-15,02 - Dairy products and birds' eggs
1,06,3.33066907387547e-15,"06 - Sugar, sugar preparations and honey"
1,09,5.32907051820075e-15,09 - Miscellaneous edible products and preparations
1,29,1.07232795843852,"29 - Crude animal and vegetable materials, n.e.s."
1,05,2.41514904471248,05 - Vegetables and fruit
1,07,7.105427357601e-15,"07 - Coffee, tea, cocoa, spices, and manufactures thereof"
1,04,8.65973959207622e-15,04 - Cereals and cereal preparations
1,59,0.449292072544312,"59 - Chemical materials and products, n.e.s."
1,22,2.44249065417534e-15,22 - Oil seeds and oleaginous fruit
1,08,23.2780409027744,08 - Feeding stuff for animals (not including unmilled cereals)
1,58,2.24265050974282e-14,"58 - Artificial resins and plastic materials, and cellulose esters and ethers"
1,26,0.00233408687574442,26 - Textile fibres (not wool tops) and their wastes (not manufactured into yarn or fabric)
1,41,18.6268823561735,41 - Animal oils and fats
1,42,6.21724893790088e-15,42 - Fixed vegetable oils and fats
1,43,2.22044604925031e-15,"43 - Animal and vegetable oils and fats, processed, and waxes of animal or vegetable origin"
1,51,6.19504447740837e-14,51 - Organic chemicals
1,11,2.01113856768195,11 - Beverages
1,12,1.77635683940025e-15,12 - Tobacco and tobacco manufactures
1,27,2.51528196431483,"27 - Crude fertilizer and crude minerals (excluding coal, petroleum and precious stones)"
1,66,5.55019453391593,"66 - Non-metallic mineral manufactures, n.e.s."
1,28,56.9729825036792,28 - Metalliferous ores and metal scrap
1,32,1.77635683940025e-15,"32 - Coal, coke and briquettes"
1,34,1.77635683940025e-15,"34 - Gas, natural and manufactured"
1,33,5.77315972805081e-15,"33 - Petroleum, petroleum products and related materials"
1,35,2.22044604925031e-16,35 - Electric current
1,52,0.626247994332869,52 - Inorganic chemicals
1,68,690.806544246015,68 - Non-ferrous metals
1,54,0.443949285165946,54 - Medicinal and pharmaceutical products
1,89,8.70197352394767,"89 - Miscellaneous manufactured articles, n.e.s."
1,56,4.66293670342566e-15,"56 - Fertilizers, manufactured"
1,53,9.54791801177635e-15,"53 - Dyeing, tanning and colouring materials"
1,55,1.33213004084033,55 - Oils and perfume materials; toilet and cleansing preparations
1,57,1.11022302462516e-15,57 - Explosives and pyrotechnic products
1,88,0.0460337635428519,"88 - Photographic equipment and supplies and optical goods, n.e.s.; watches and clocks"
1,87,1.63342659098645,"87 - Professional, scientific and controlling instruments and apparatus, n.e.s."
1,84,0.50622022295203,84 - Articles of apparel and clothing accessories
1,23,4.66293670342566e-15,23 - Crude rubber (including synthetic and reclaimed)
1,62,1.3988810110277e-14,"62 - Rubber manufactures, n.e.s."
1,21,5.06643846400798,"21 - Hides, skins and furskins, raw"
1,61,7.7715611723761e-15,"61 - Leather, leather manufactures, n.e.s., and dressed furskins"
1,83,2.88657986402541e-15,"83 - Travel goods, handbags and similar containers"
1,24,4.3163330723667,24 - Cork and wood
1,63,9.54791801177635e-15,"63 - Cork and wood, cork manufactures (excluding furniture)"
