year,country,dimension,weight
2010,AT,1,0.000221096859504828
2010,AT,2,3.44751745577599e-05
2010,AT,3,4.50708243099428e-05
2010,AT,4,-6.44269004905024e-06
2010,AT,5,2.66389341215991e-05
2010,AT,6,0.000315637509559143
2010,BE,1,0.000222857083134862
2010,BE,2,4.24388083076721e-05
2010,BE,3,-5.49981832923003e-05
2010,BE,4,6.98068680441539e-05
2010,BE,5,-3.99115987606777e-05
2010,BE,6,0.000510896450067772
2010,BG,1,0.000102623011691924
2010,BG,2,4.93026520981095e-05
2010,BG,3,2.76564799525253e-06
2010,BG,4,0.000518432024429292
2010,BG,5,-1.94142677437103e-05
2010,BG,6,-1.97900851950717e-05
2010,CH,1,-0.000382043657812098
2010,CH,2,-0.000115849580095701
2010,CH,3,1.31868583024435e-05
2010,CH,4,-0.000165208020832633
2010,CH,5,-6.78544461195746e-05
2010,CH,6,0.00135320522672764
2010,DE,1,0.00034186469193304
2010,DE,2,-6.18540282291809e-05
2010,DE,3,5.01742632109191e-06
2010,DE,4,5.38820587994811e-05
2010,DE,5,4.31874628212291e-05
2010,DE,6,0.000235758816894285
2010,DK,1,0.000214179522627506
2010,DK,2,4.70478236908059e-05
2010,DK,3,1.94647964135159e-05
2010,DK,4,2.92695670903759e-06
2010,DK,5,9.13147627034067e-05
2010,DK,6,0.000221525200353363
2010,ES,1,0.000218395854897495
2010,ES,2,-4.61062224892801e-05
2010,ES,3,-1.82363135995687e-05
2010,ES,4,0.000294972058138443
2010,ES,5,3.70896573938945e-05
2010,ES,6,0.000263938289376296
2010,FI,1,0.000236796755950614
2010,FI,2,3.34880669455075e-05
2010,FI,3,2.24327490911576e-06
2010,FI,4,0.000291549418068175
2010,FI,5,-1.50611380978527e-05
2010,FI,6,0.000136302037096581
2010,FR,1,0.000185972767748253
2010,FR,2,7.17360440647988e-05
2010,FR,3,-8.61951996816657e-07
2010,FR,4,0.000144610366683572
2010,FR,5,-1.12047719197253e-05
2010,FR,6,0.000290599113624584
2010,GB,1,0.000208860209272875
2010,GB,2,-2.00770772647825e-05
2010,GB,3,2.15161590353022e-05
2010,GB,4,8.89524374111141e-05
2010,GB,5,1.2535695760589e-05
2010,GB,6,0.000402260226051071
2010,HU,1,0.000971143976930914
2010,HU,2,7.64815741038271e-05
2010,HU,3,-2.87234511986188e-05
2010,HU,4,-1.39469486365192e-05
2010,HU,5,-1.97523603631908e-05
2010,HU,6,-0.000138701716061688
2010,IE,1,0.00014102674212056
2010,IE,2,0.000204171177889092
2010,IE,3,-4.77300487451954e-05
2010,IE,4,8.58152804691012e-06
2010,IE,5,2.69399145403812e-06
2010,IE,6,0.000354804282705786
2010,IT,1,0.000223598225441447
2010,IT,2,3.28896937626493e-05
2010,IT,3,2.53494514786175e-06
2010,IT,4,0.000366241678006319
2010,IT,5,-7.43966771589536e-05
2010,IT,6,0.000154196367528178
2010,LU,1,1.93965911337705e-05
2010,LU,2,0.000287369900373632
2010,LU,3,2.59982931107415e-05
2010,LU,4,-7.55722990167142e-05
2010,LU,5,7.90554434911384e-05
2010,LU,6,0.000397646413093716
2010,LV,1,-0.000103639207766009
2010,LV,2,0.000755785251093705
2010,LV,3,-1.4010393257605e-05
2010,LV,4,7.8434990313054e-06
2010,LV,5,0.000270954481744186
2010,LV,6,8.2075691205129e-05
2010,NL,1,0.000135789191659263
2010,NL,2,-1.29408053900075e-05
2010,NL,3,-1.78278820657546e-05
2010,NL,4,0.000396721308268621
