,HS6,Parent,Self-explanatory texts in English,HS6_float,Description
0,,,"This classification has been uploaded in RAMON for the specific needs of the ""Correspondence tables"" section of the server. The sole official versions of this classification are to be found on the World Customs Organization Web site (http://www.wcoomd.org).",,"['this classification has been uploaded in ramon for the specific needs of the ""correspondence tables"" section of the server. the sole official versions of this classification are to be found on the world customs organization web site (http://www.wcoomd.org).']"
1,I,,LIVE ANIMALS; ANIMAL PRODUCTS,,['live animals; animal products']
2,01,I,LIVE ANIMALS,1.0,"['live animals; animal products', 'live animals']"
3,01.01,01,"Live horses, asses, mules and hinnies",101.0,"['live animals', 'live horses, asses, mules and hinnies']"
4,,01.01,,,"['live horses, asses, mules and hinnies']"
5,0101.21,,Pure-bred breeding horses,10121.0,['pure-bred breeding horses']
6,0101.29,,Live horses (excl. pure-bred for breeding),10129.0,['live horses (excl. pure-bred for breeding)']
7,0101.30,01.01,Live asses,10130.0,"['live horses, asses, mules and hinnies', 'live asses']"
8,0101.90,01.01,Live mules and hinnies,10190.0,"['live horses, asses, mules and hinnies', 'live mules and hinnies']"
9,01.02,01,Live bovine animals,102.0,"['live animals', 'live bovine animals']"
10,,01.02,,,['live bovine animals']
11,0102.21,,Pure-bred cattle for breeding,10221.0,['pure-bred cattle for breeding']
12,0102.29,,Live cattle (excl. pure-bred for breeding),10229.0,['live cattle (excl. pure-bred for breeding)']
13,,01.02,,,['live bovine animals']
14,0102.31,,Pure-bred buffalo for breeding,10231.0,['pure-bred buffalo for breeding']
15,0102.39,,Live buffalo (excl. pure-bred for breeding),10239.0,['live buffalo (excl. pure-bred for breeding)']
16,0102.90,01.02,Live bovine animals (excl. cattle and buffalo),10290.0,"['live bovine animals', 'live bovine animals (excl. cattle and buffalo)']"
17,01.03,01,Live swine,103.0,"['live animals', 'live swine']"
18,0103.10,01.03,Pure-bred breeding swine,10310.0,"['live swine', 'pure-bred breeding swine']"
19,,01.03,,,['live swine']
20,0103.91,,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)",10391.0,"['live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)']"
21,0103.92,,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)",10392.0,"['live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)']"
22,01.04,01,Live sheep and goats,104.0,"['live animals', 'live sheep and goats']"
23,0104.10,01.04,Live sheep,10410.0,"['live sheep and goats', 'live sheep']"
24,0104.20,01.04,Live goats,10420.0,"['live sheep and goats', 'live goats']"
25,01.05,01,"Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",105.0,"['live animals', 'live poultry, ""fowls of the species gallus domesticus, ducks, geese, turkeys and guinea fowls""']"
26,,01.05,,,"['live poultry, ""fowls of the species gallus domesticus, ducks, geese, turkeys and guinea fowls""']"
27,0105.11,,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",10511.0,"['live fowls of the species gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)']"
